open,high,low,close,volume,date,MA for 10 days,MA for 50 days,MA for 100 days,Daily Return,ema7,ema14,ema30,ema60
44.44,45.0,43.13,44.38,1752300,1999-12-21,46.275999999999996,43.6584,41.4255,0.02305209774089434,45.55233416251197,46.62381874911119,46.181985145692636,44.15925131363382
44.06,44.81,43.38,43.38,1262100,1999-12-22,46.819,43.49839999999999,41.3873,-0.031912519526891336,45.94311221668262,46.96902163358983,46.30625998332661,44.15176830731632
44.19,45.44,44.06,44.81,1109600,1999-12-23,47.644,43.3646,41.356,-0.035099052540912945,46.79748295557683,47.52117880798827,46.50807101665948,44.177929944852465
45.5,46.94,45.25,46.44,1743800,1999-12-27,48.494,43.1446,41.3079,-0.02354920100925162,47.45997727410244,47.93828323998647,46.62517936263599,44.15650384128814
46.69,48.06,46.38,47.56,1546800,1999-12-28,49.006,42.9146,41.2316,0.022795698924731322,47.79996969880325,48.168788353830536,46.63795035316261,44.07909719184028
47.69,48.06,46.25,46.5,1593200,1999-12-29,49.325,42.6684,41.1566,0.010869565217391353,47.87995959840434,48.2624481005737,46.574360722346235,43.961100486478934
46.75,47.56,45.88,46.0,1357400,1999-12-30,49.838,42.452200000000005,41.093500000000006,-0.022524436889077792,48.339946131205785,48.53359396220042,46.57948904802528,43.87503609619009
45.75,47.44,45.69,47.06,762800,1999-12-31,50.457,42.244800000000005,41.0285,-0.032284597984783114,49.119928174941045,48.92337764869279,46.61945380995805,43.80300342148467
48.88,49.0,48.5,48.63,2527500,2000-01-03,50.945,42.0198,40.9548,0.013125000000000053,49.80657089992139,49.210051133107065,46.58907131409308,43.692596757806186
48.13,49.75,48.0,48.0,3090700,2000-01-04,51.076,41.812200000000004,40.8491,-0.03633808472194344,50.19876119989519,49.299289768969686,46.44831761161674,43.52522715637589
48.06,49.88,48.0,49.81,3199300,2000-01-05,51.206999999999994,41.666000000000004,40.750400000000006,-0.03525082316482664,50.931681599860255,49.49918050265733,46.341305033107545,43.37353994133779
51.0,52.25,50.56,51.63,2570300,2000-01-06,50.939,41.462399999999995,40.635400000000004,-0.03151378728193588,51.305575466480335,49.45136211845076,46.10208469056324,43.15535485460348
52.88,55.0,52.75,53.31,3180100,2000-01-07,50.514,41.199799999999996,40.499700000000004,0.03394103956555461,51.19743395530712,49.11618705975087,45.72084915198139,42.86807874797987
54.06,54.56,51.5,51.56,1841100,2000-01-10,49.714000000000006,40.9298,40.3641,0.015960591133004964,50.49324527374283,48.47098506894331,45.197459438324934,42.514115315708004
51.63,53.19,50.75,50.75,1972800,2000-01-11,48.92100000000001,40.6774,40.259100000000004,-0.017044354057718425,50.13766036499044,47.99575200262689,44.75866353751975,42.20747515691845
51.5,52.31,51.13,51.63,1700500,2000-01-12,48.34,40.4536,40.1516,-0.010730024908986335,49.93354715332058,47.57202154149256,44.345467919417665,41.91789804359365
53.19,53.38,52.06,52.19,1564700,2000-01-13,47.633,40.211000000000006,40.0259,0.004813246053138265,49.36806287109411,46.94771716326065,43.84308639661888,41.58867424846124
52.06,52.88,51.88,51.94,1522200,2000-01-14,46.764,39.9484,39.8921,0.04004805766920305,48.42741716145881,46.14121211145459,43.267437182592595,41.22930727383281
51.56,51.75,49.88,49.94,2027100,2000-01-18,45.81400000000001,39.6758,39.754,0.012776313121070748,47.256556215278415,45.24909089783222,42.669329402081736,40.86623294413223
49.94,50.69,49.31,49.31,1712300,2000-01-19,45.139,39.457,39.637100000000004,0.04625503925312957,46.36207495370456,44.52741257442179,42.16790384360461,40.55864762020451
49.56,49.94,47.06,47.13,2139600,2000-01-20,44.55200000000001,39.2858,39.530300000000004,-0.005276487969607446,45.379433271606075,43.7916298935636,41.67534548799114,40.26199160733009
47.19,47.94,45.63,47.38,2500000,2000-01-21,44.07000000000001,39.132000000000005,39.4315,0.045685279187817285,44.795911028808106,43.27803449257338,41.29916241819742,40.029177763510766
47.0,47.25,45.06,45.31,2692800,2000-01-24,43.563,39.022,39.333999999999996,0.03850561540224606,43.93454803841081,42.64696287604621,40.87979430910759,39.779997348714524
44.81,45.0,42.56,43.63,3042100,2000-01-25,43.157000000000004,38.9846,39.250899999999994,-0.029149977748108458,43.47606405121441,42.237264856976395,40.57426288214949,39.5925396317218
43.38,45.69,43.38,44.94,2094100,2000-01-26,42.894,38.9608,39.174,0.008527827648114883,43.42475206828588,42.02299791189584,40.363522391263245,39.45567656839033
44.94,45.56,44.0,44.56,1670400,2000-01-27,42.313,38.908199999999994,39.075900000000004,0.024367816091954042,42.91966942438118,41.57422835987982,40.047903245833126,39.26976729952221
44.13,45.19,43.5,43.5,2425800,2000-01-28,41.663,38.8446,38.9809,0.02497643732327992,42.37289256584158,41.1148788767844,39.736724159338856,39.090437377472114
43.13,43.94,42.44,42.44,1838500,2000-01-31,40.913,38.8034,38.897200000000005,-0.01736513081731883,41.99719008778877,40.74793716552047,39.47718789446567,38.94096067840338
42.75,44.06,42.75,43.19,1465100,2000-02-01,40.532,38.7958,38.8172,-0.0057550644567219145,41.849586783718365,40.487619806369764,39.27285602511848,38.82234917597637
